PLZ;prod
01;1027,00
02;1057,00
03;1117,00
04;1055,00
06;1018,00
07;973,00
08;1021,00
09;1094,00
10;922,00
14;1004,00
15;988,00
16;997,00
17;940,00
18;946,00
19;951,00
20;925,00
23;966,00
24;934,00
25;921,00
26;923,00
27;912,00
29;957,00
30;987,00
32;961,00
33;948,00
34;969,00
35;978,00
36;979,00
37;994,00
38;982,00
39;1027,00
40;909,00
41;958,00
42;866,00
44;956,00
45;945,00
46;928,00
47;998,00
48;950,00
49;933,00
50;969,00
51;951,00
52;997,00
53;979,00
54;982,00
55;1003,00
56;986,00
57;954,00
58;960,00
59;988,00
60;954,00
63;953,00
64;986,00
65;983,00
66;979,00
67;966,00
68;987,00
70;1068,00
72;1059,00
73;1056,00
74;1016,00
75;1043,00
76;1043,00
77;1043,00
78;1052,00
79;1063,00
80;947,00
82;1030,00
83;1023,00
84;1071,00
85;1064,00
86;1046,00
87;1056,00
88;1064,00
89;1039,00
90;1001,00
92;979,00
93;997,00
94;1030,00
95;1020,00
96;947,00
97;1003,00
98;946,00
99;991,00
Bu;994,00
